Wavelength	LJCO
418.4159851074219	0.011000000000000001
424.0429992675781	0.0105
429.4570007324219	0.013800000000000002
434.6860046386719	0.0145
439.7569885253906	0.016
444.6990051269531	0.0149
449.53900146484375	0.0165
454.3059997558594	0.0189
459.031005859375	0.0198
463.7300109863281	0.0221
468.4110107421875	0.0216
473.0799865722656	0.0221
477.7439880371094	0.022600000000000002
482.4110107421875	0.0253
487.0870056152344	0.0284
491.7799987792969	0.0273
496.49700927734375	0.0274
501.2430114746094	0.029300000000000003
506.0199890136719	0.0275
510.8280029296875	0.026500000000000003
515.6719970703125	0.0267
520.5499877929688	0.026600000000000002
525.4669799804688	0.027
530.4240112304688	0.027100000000000003
535.4219970703125	0.028200000000000003
540.4630126953125	0.029300000000000003
545.551025390625	0.027600000000000003
550.68701171875	0.0262
555.8729858398438	0.0258
561.1119995117188	0.025900000000000003
566.405029296875	0.024800000000000003
571.7559814453125	0.0219
577.166015625	0.0196
582.635986328125	0.0173
588.1710205078125	0.0143
593.7730102539062	0.0114
599.4459838867188	0.0082
605.1929931640625	0.0063
611.0170288085938	0.0066
616.9229736328125	0.006
622.9199829101562	0.005200000000000001
628.9869995117188	0.0051
635.1119995117188	0.0049
641.2940063476562	0.0057
647.5369873046875	0.0054
653.8410034179688	0.0041
660.2069702148438	0.0035
666.6370239257812	0.0043
673.1309814453125	0.0041
679.6909790039062	0.0037
686.3189697265625	0.0061
693.0139770507812	0.0046
699.780029296875	0.0032
706.6170043945312	0.0019
713.5239868164062	0.0028
720.5009765625	7.0E-4
727.5449829101562	0.0
734.6539916992188	0.0
741.8259887695312	0.0
749.0599975585938	0.0011
756.35302734375	0.004
763.7030029296875	0.0085
771.1079711914062	0.0015
778.5670166015625	0.0011
786.0780029296875	1.0E-4
793.6389770507812	0.0
801.2479858398438	0.0
808.905029296875	1.0E-4
816.6079711914062	0.0
824.35498046875	0.0
832.14501953125	0.0
839.9760131835938	0.0
847.8469848632812	0.0
855.7570190429688	0.0
863.7030029296875	0.0
871.6829833984375	0.0
879.6920166015625	0.0
887.72900390625	0.0
895.7890014648438	0.0
901.9619750976562	0.0
903.8699951171875	0.0
911.572021484375	0.0
911.968017578125	0.0
920.0800170898438	0.0
921.3200073242188	0.0
928.2039794921875	0.0
931.2039794921875	0.0
936.3350219726562	0.0
941.218017578125	0.0
944.469970703125	0.0
951.3610229492188	0.0
952.6079711914062	0.0
960.7479858398438	0.0
961.6290283203125	0.0
968.8909912109375	0.0
972.0170288085938	0.0
977.0369873046875	0.0
982.5239868164062	0.0
985.1859741210938	0.0
993.14501953125	0.0
993.3380126953125	0.0
1003.8800048828125	0.0
1014.719970703125	0.0
1025.6600341796875	0.0
1036.699951171875	0.0
1047.8399658203125	0.0
1059.0699462890625	0.0
1070.3900146484375	0.0
1081.7900390625	0.0
1093.260009765625	0.0
1104.81005859375	0.0
1116.4300537109375	0.0
1128.1099853515625	0.0
1139.8399658203125	0.0
1151.6199951171875	0.0
1163.43994140625	0.0
1175.31005859375	0.0
1187.199951171875	0.0
1199.1099853515625	0.0
1211.050048828125	0.0
1223.0	0.0
1234.969970703125	0.0
1246.949951171875	0.0
1258.9300537109375	0.0
1270.9200439453125	0.0
1282.9200439453125	0.0
1294.9100341796875	0.0
1306.9000244140625	0.0
1318.8800048828125	0.0
1330.8599853515625	0.0
1342.8199462890625	NaN
1354.760009765625	NaN
1366.68994140625	NaN
1378.5999755859375	NaN
1390.47998046875	NaN
1461.1099853515625	0.0
1472.739990234375	0.0
1484.3399658203125	0.0
1495.8900146484375	0.0
1507.4000244140625	0.0
1518.8699951171875	0.0
1530.2900390625	0.0
1541.6800537109375	0.0
1553.010009765625	0.0
1564.31005859375	0.0
1575.550048828125	0.0
1586.760009765625	0.0
1597.9100341796875	0.0
1609.02001953125	0.0
1620.0899658203125	0.0
1631.1099853515625	0.0
1642.0799560546875	0.0
1653.0	0.0
1663.8699951171875	0.0
1674.699951171875	0.0
1685.469970703125	0.0
1696.199951171875	0.0
1706.8699951171875	0.0
1717.5	0.0
1728.0799560546875	0.0
1738.5999755859375	0.0
1749.0799560546875	0.0
1759.510009765625	0.0
1939.1400146484375	0.0
1948.68994140625	0.0
1958.199951171875	0.0
1967.6600341796875	0.0
1977.0799560546875	0.0
1986.449951171875	0.0
1995.7900390625	0.0
2005.0799560546875	0.0
2014.3299560546875	0.0
2023.5400390625	0.0
2032.7099609375	0.0
2041.8299560546875	0.0
2050.919921875	0.0
2059.9599609375	0.0
2068.969970703125	0.0
2077.929931640625	0.0
2086.860107421875	0.0
2095.739990234375	0.0
2104.590087890625	0.0
2113.39990234375	0.0
2122.169921875	0.0
2130.89990234375	0.0
2139.60009765625	0.0
2148.260009765625	0.0
2156.8798828125	0.0
2165.469970703125	0.0
2174.02001953125	0.0
2182.530029296875	0.0
2191.010009765625	0.0
2199.4599609375	0.0
2207.860107421875	0.0
2216.239990234375	0.0
2224.580078125	0.0
2232.889892578125	0.0
2241.159912109375	0.0
2249.39990234375	0.0
2257.610107421875	0.0
2265.7900390625	0.0
2273.929931640625	0.0
2282.0400390625	0.0
2290.1201171875	0.0
2298.169921875	0.0
2306.18994140625	0.0
2314.179931640625	0.0
2322.1298828125	0.0
2330.050048828125	0.0
2337.93994140625	0.0
2345.81005859375	0.0
2353.639892578125	0.0
2361.43994140625	0.0
2369.2099609375	0.0
2376.949951171875	0.0
2384.659912109375	0.0
2392.340087890625	0.0
2400.0	0.0
2407.6201171875	0.0
2415.2099609375	0.0
2422.780029296875	0.0
2430.320068359375	0.0
2437.830078125	0.0
2445.300048828125	0.0
