Wavelength	rhown
350.0	0.013021711454029422
351.0	0.01269358268798517
352.0	0.012487056083981358
353.0	0.012375231181658753
354.0	0.012330841158603114
355.0	0.012327867500205857
356.0	0.01233495337501571
357.0	0.012305805295562581
358.0	0.012239972443804117
359.0	0.012233811332931962
360.0	0.012389828894279385
361.0	0.012764994457717898
362.0	0.013170621456464885
363.0	0.013447821414460015
364.0	0.013547683341542322
365.0	0.013539030181394985
366.0	0.01354172967099671
367.0	0.013594768281198117
368.0	0.013722500729457382
369.0	0.013934243080245911
370.0	0.01414819773155908
371.0	0.014262223849694555
372.0	0.014270964689412328
373.0	0.014256231655043835
374.0	0.014350987021733696
375.0	0.014550659533320983
376.0	0.014760354404352553
377.0	0.014921230208772457
378.0	0.015025767001911095
379.0	0.015126808175251052
380.0	0.01518193728178781
381.0	0.015117171674888127
382.0	0.015012378330561961
383.0	0.015005438430620388
384.0	0.01524055947650386
385.0	0.015622544466011959
386.0	0.01593460999055937
387.0	0.01611444407538215
388.0	0.016198926356344553
389.0	0.016285592540667092
390.0	0.016372294561177395
391.0	0.01641064631664169
392.0	0.016476738151404925
393.0	0.016644076544360037
394.0	0.016944474733351166
395.0	0.01725797114837192
396.0	0.017465884142545466
397.0	0.01766633477944126
398.0	0.01793845493849095
399.0	0.01822359377188742
400.0	0.01845229064212007
401.0	0.018577463740163464
402.0	0.018681010941865507
403.0	0.01879033906937002
404.0	0.01884402202207258
405.0	0.018842413822255235
406.0	0.018842017932957093
407.0	0.01889657671877818
408.0	0.01902601015162881
409.0	0.019171593655713786
410.0	0.019316368193374348
411.0	0.019464319293407938
412.0	0.019622162791950865
413.0	0.019778553825115498
414.0	0.01990417527732699
415.0	0.019998970665340853
416.0	0.020084070986485056
417.0	0.020172425194240763
418.0	0.020274413130560515
419.0	0.020396415582282126
420.0	0.02054951883093758
421.0	0.020741453734392373
422.0	0.02094567962401063
423.0	0.021119479435287365
424.0	0.02121436090865073
425.0	0.021254113676841144
426.0	0.0213033576674414
427.0	0.021391977865339442
428.0	0.02152261961516951
429.0	0.021665592488848247
430.0	0.021845588442805115
431.0	0.02209616126574315
432.0	0.02236691345439784
433.0	0.02261152399253161
434.0	0.02281506474814166
435.0	0.022997208120551647
436.0	0.023187127427090764
437.0	0.023392498027852846
438.0	0.023613781169547255
439.0	0.023849836731653352
440.0	0.024086882698086468
441.0	0.024309300520070014
442.0	0.024514696880361658
443.0	0.024718740843335172
444.0	0.02495140893060914
445.0	0.02521392709088707
446.0	0.025483258331257745
447.0	0.02572486647896524
448.0	0.02592499134201891
449.0	0.026107600358582988
450.0	0.02629837068491695
451.0	0.02651852557938249
452.0	0.026769577559526296
453.0	0.027031588137155543
454.0	0.027266119346326115
455.0	0.027462843117210128
456.0	0.027638333810830085
457.0	0.027832504023415246
458.0	0.02806472590825872
459.0	0.028313052646176784
460.0	0.028548396340052528
461.0	0.02874745106566821
462.0	0.02892624362436221
463.0	0.029099201615296652
464.0	0.029266269619770562
465.0	0.029434634299938176
466.0	0.029615569944719644
467.0	0.029815728897527954
468.0	0.03002913042502519
469.0	0.03023198225503247
470.0	0.030424030387804526
471.0	0.030618203563496437
472.0	0.030819419029863328
473.0	0.03102687521230865
474.0	0.031233971715749164
475.0	0.03143527406767298
476.0	0.03163162018659283
477.0	0.03184446313222745
478.0	0.032085887809026055
479.0	0.032337116621516525
480.0	0.032538255790347276
481.0	0.032621230654864226
482.0	0.032631630648003264
483.0	0.03263507973085178
484.0	0.03268063089496509
485.0	0.03277360092616798
486.0	0.03289114109734578
487.0	0.033033372806993644
488.0	0.03319052892131155
489.0	0.033325415425053455
490.0	0.0334482805738028
491.0	0.03359785088435796
492.0	0.03377382074659365
493.0	0.033944676675320966
494.0	0.034047853956539975
495.0	0.03408047682830838
496.0	0.03408494544985567
497.0	0.03408014976745502
498.0	0.03407506769156293
499.0	0.03407380125574058
500.0	0.03407461266028148
501.0	0.03407024152321976
502.0	0.0340423660992607
503.0	0.03398401172678314
504.0	0.03391818374523022
505.0	0.03384585103163463
506.0	0.03374623624752974
507.0	0.033598230999531395
508.0	0.03339240296211811
509.0	0.03314685535715555
510.0	0.0328603055603649
511.0	0.032519851608751156
512.0	0.03216996584022405
513.0	0.03186429470693335
514.0	0.0316278753371095
515.0	0.031462112321141364
516.0	0.031357070962880845
517.0	0.03135043706970346
518.0	0.03146592148252635
519.0	0.03164325192090362
520.0	0.03183116764821286
521.0	0.03200041585636853
522.0	0.032146858321558676
523.0	0.03227162608640436
524.0	0.03236796698611505
525.0	0.03244036881778278
526.0	0.03250312972854957
527.0	0.032553508589283
528.0	0.03258318797274721
529.0	0.03259180226905164
530.0	0.0325899329082314
531.0	0.032598094028230634
532.0	0.03261297750994509
533.0	0.032616118137757825
534.0	0.03256772436966799
535.0	0.03246083887049372
536.0	0.03232468267513231
537.0	0.03218514036494346
538.0	0.03205748635916648
539.0	0.031936453443141326
540.0	0.031813679582834264
541.0	0.03168029000095411
542.0	0.03152974230833267
543.0	0.03136019194708319
544.0	0.031190047854626753
545.0	0.031029129516827923
546.0	0.030871752140460337
547.0	0.03070162998788417
548.0	0.030504621618320432
549.0	0.030292744173299954
550.0	0.030084036763240327
551.0	0.029900788073662865
552.0	0.02975463577963671
553.0	0.02965220791893543
554.0	0.029588969462809332
555.0	0.02955171113998211
556.0	0.029522108276891484
557.0	0.02948155195928268
558.0	0.029417698064181166
559.0	0.02933756135390304
560.0	0.02925568047358459
561.0	0.02919409200077555
562.0	0.02914138199756184
563.0	0.029069402538006783
564.0	0.028941435119837444
565.0	0.0287467995442378
