Wavelength	open_water	LJCO
Wavelength	open_water	LJCO
400.0	0.26987743377685547	0.27890244126319885
412.5	0.2479865700006485	0.25825971364974976
442.5	0.19553612172603607	0.21182458102703094
490.0	0.14035166800022125	0.16449366509914398
510.0	0.11574241518974304	0.14893433451652527
560.0	0.07861170917749405	0.122714102268219
620.0	0.054731909185647964	0.08089450746774673
665.0	0.04639335721731186	0.0678582638502121
673.75	0.04540737718343735	0.0662248283624649
681.25	0.044254232197999954	0.06458626687526703
708.75	0.03847373276948929	0.0530482679605484
753.75	0.03380591794848442	0.04594709351658821
761.25	0.01585703156888485	0.020188432186841965
764.375	0.020739352330565453	0.027670586481690407
767.5	0.02996813878417015	0.040833547711372375
778.75	0.031195035204291344	0.04328661412000656
865.0	0.02508576586842537	0.035590432584285736
885.0	0.023943698033690453	0.03424721211194992
900.0	0.018737776204943657	0.025035323575139046
940.0	0.011956910602748394	0.014445804059505463
1020.0	0.019880032166838646	0.030661217868328094
