Wavelength	LJCO
Wavelength	LJCO
400.0	0.27890244126319885
412.5	0.25825971364974976
442.5	0.21182458102703094
490.0	0.16449366509914398
510.0	0.14893433451652527
560.0	0.122714102268219
620.0	0.08089450746774673
665.0	0.0678582638502121
673.75	0.0662248283624649
681.25	0.06458626687526703
708.75	0.0530482679605484
753.75	0.04594709351658821
761.25	0.020188432186841965
764.375	0.027670586481690407
767.5	0.040833547711372375
778.75	0.04328661412000656
865.0	0.035590432584285736
885.0	0.03424721211194992
900.0	0.025035323575139046
940.0	0.014445804059505463
1020.0	0.030661217868328094
Wavelength	LJCO
400.0	0.013127620331943035
412.5	0.01469112653285265
442.5	0.019616277888417244
490.0	0.030467573553323746
510.0	0.035294510424137115
560.0	0.042218320071697235
620.0	0.02209927700459957
665.0	0.013650123029947281
673.75	0.01259925588965416
681.25	0.0123797208070755
708.75	0.008092915639281273
753.75	0.002184971934184432
778.75	0.002435352187603712
865.0	9.619364282116294E-4
885.0	8.044791757129133E-4
1020.0	1.4507537707686424E-4
