Wavelength	open water
Wavelength	open water
400.0	0.2773129343986511
412.5	0.25502336025238037
442.5	0.205237478017807
490.0	0.1512334793806076
510.0	0.12726372480392456
560.0	0.08719254285097122
620.0	0.05818323791027069
665.0	0.04871143773198128
673.75	0.04768067225813866
681.25	0.04603106155991554
708.75	0.039977334439754486
753.75	0.0350462831556797
761.25	0.01630331203341484
764.375	0.021485239267349243
767.5	0.030525170266628265
778.75	0.03215394914150238
865.0	0.02532917447388172
885.0	0.024002443999052048
900.0	0.01890397258102894
940.0	0.011672266758978367
1020.0	0.020418310537934303
Wavelength	open water
400.0	0.027286723256111145
412.5	0.029932167381048203
442.5	0.031051689758896828
490.0	0.027680670842528343
510.0	0.018099837005138397
560.0	0.01007035467773676
620.0	0.0021651198621839285
665.0	0.0012704915134236217
673.75	0.0012222154764458537
681.25	0.0011674124980345368
708.75	6.071998504921794E-4
753.75	1.8080561130773276E-4
778.75	1.9762542797252536E-4
865.0	8.26511750346981E-5
885.0	6.970721733523533E-5
1020.0	1.2921974303026218E-5
