Wavelength	open water	LJCO
Wavelength	open water	LJCO
400.0	0.027286723256111145	0.013127620331943035
412.5	0.029932167381048203	0.01469112653285265
442.5	0.031051689758896828	0.019616277888417244
490.0	0.027680670842528343	0.030467573553323746
510.0	0.018099837005138397	0.035294510424137115
560.0	0.01007035467773676	0.042218320071697235
620.0	0.0021651198621839285	0.02209927700459957
665.0	0.0012704915134236217	0.013650123029947281
673.75	0.0012222154764458537	0.01259925588965416
681.25	0.0011674124980345368	0.0123797208070755
708.75	6.071998504921794E-4	0.008092915639281273
753.75	1.8080561130773276E-4	0.002184971934184432
778.75	1.9762542797252536E-4	0.002435352187603712
865.0	8.26511750346981E-5	9.619364282116294E-4
885.0	6.970721733523533E-5	8.044791757129133E-4
1020.0	1.2921974303026218E-5	1.4507537707686424E-4
